data,selic,ipca,cambio
2020-01-31,4.5,0.21,4.149463636363636
2020-02-29,4.25,0.25,4.341011111111111
2020-03-31,3.75,0.07,4.883854545454546
2020-04-30,3.75,-0.31,5.32558
2020-05-31,3.0,-0.38,5.643445
2020-06-30,2.25,0.26,5.1966
2020-07-31,2.25,0.36,5.280191304347826
2020-08-31,2.0,0.24,5.461233333333333
2020-09-30,2.0,0.64,5.399485714285714
2020-10-31,2.0,0.86,5.625790476190476
2020-11-30,2.0,0.89,5.417835
2020-12-31,2.0,1.35,5.1455863636363635
2021-01-31,2.0,0.25,5.3562449999999995
2021-02-28,2.0,0.86,5.416494444444444
2021-03-31,2.75,0.93,5.646147826086957
2021-04-30,2.75,0.31,5.562135
2021-05-31,3.5,0.83,5.291057142857143
2021-06-30,4.25,0.53,5.031904761904762
2021-07-31,4.25,0.96,5.156704545454546
2021-08-31,5.25,0.87,5.251718181818182
2021-09-30,6.25,1.16,5.279690476190477
2021-10-31,7.75,1.25,5.53998
2021-11-30,7.75,0.95,5.5568599999999995
2021-12-31,9.25,0.73,5.651391304347826
2022-01-31,9.25,0.54,5.534104761904762
2022-02-28,10.75,1.01,5.196578947368421
2022-03-31,11.75,1.62,4.968381818181818
2022-04-30,11.75,1.06,4.758015789473684
2022-05-31,12.75,0.47,4.95505
2022-06-30,13.25,0.67,5.049209523809524
2022-07-31,13.25,-0.68,5.368071428571429
2022-08-31,13.75,-0.36,5.143286956521739
2022-09-30,13.75,-0.29,5.236957142857143
2022-10-31,13.75,0.59,5.2503
2022-11-30,13.75,0.41,5.274649999999999
2022-12-31,13.75,0.62,5.242431818181818
2023-01-31,13.75,0.53,5.200681818181819
2023-02-28,13.75,0.84,5.171688888888889
2023-03-31,13.75,0.71,5.211460869565218
2023-04-30,13.75,0.61,5.019733333333333
2023-05-31,13.75,0.23,4.9828363636363635
2023-06-30,13.75,-0.08,4.851566666666667
2023-07-31,13.75,0.12,4.800833333333333
2023-08-31,13.25,0.23,4.903543478260869
2023-09-30,12.75,0.26,4.93699
2023-10-31,12.75,0.24,5.064842857142857
2023-11-30,12.25,0.28,4.89834
2023-12-31,11.75,0.56,4.897245
2024-01-31,11.75,0.42,4.9143954545454545
2024-02-29,11.25,0.83,4.964389473684211
2024-03-31,10.75,0.16,4.980135
2024-04-30,10.75,0.38,5.129095454545455
2024-05-31,10.5,0.46,5.133047619047619
2024-06-30,10.5,0.21,5.388975
2024-07-31,10.5,0.38,5.542047826086956
2024-08-31,10.5,-0.02,5.5526136363636365
2024-09-30,10.75,0.44,5.541566666666666
2024-10-31,10.75,0.56,5.624108695652174
2024-11-30,11.25,0.39,5.807057894736842
2024-12-31,12.25,0.52,6.097028571428571
2025-01-31,13.25,0.16,6.021772727272727
2025-02-28,13.25,1.31,5.765645
2025-03-31,14.25,0.56,5.74681052631579
2025-04-30,14.25,0.43,5.783675000000001
2025-05-31,14.75,0.26,5.6673857142857145
2025-06-30,15.0,0.24,5.547055
2025-07-31,15.0,0.26,5.528491304347826
2025-08-31,15.0,-0.11,5.44692380952381
2025-09-30,15.0,0.48,5.367409090909091
2025-10-31,15.0,0.09,5.385526086956522
2025-11-30,15.0,0.18,5.340852631578947
2025-12-31,15.0,0.33,5.45309090909091
2026-01-31,15.0,0.33,5.3380238095238095
2026-02-28,15.0,0.7,5.200616666666666
2026-03-31,14.75,0.88,5.231586363636364
2026-04-30,14.5,0.67,5.033075
2026-05-31,14.5,0.58,4.983700000000001
2026-06-30,14.25,,5.120066666666666
